iRk,Player,Year,Age,Draft,Tm,Lg,G,GS,name,key,Round,Pick,ageGroup
1,Flozell Adams\AdamFl00,2007,32,2-38,DAL,NFL,16,16,Flozell Adams,FlozellAdams32DAL2007,4,186,29-32
2,Flozell Adams\AdamFl00,2008,33,2-38,DAL,NFL,16,16,Flozell Adams,FlozellAdams33DAL2008,4,186,32+
3,Flozell Adams\AdamFl00,2009,34,2-38,DAL,NFL,16,16,Flozell Adams,FlozellAdams34DAL2009,4,186,32+
4,Flozell Adams\AdamFl00,2010,35,2-38,PIT,NFL,16,16,Flozell Adams,FlozellAdams35PIT2010,4,186,32+
5,Flozell Adams\AdamFl00,2000,25,2-38,DAL,NFL,16,16,Flozell Adams,FlozellAdams25DAL2000,4,186,25-28
6,Flozell Adams\AdamFl00,2001,26,2-38,DAL,NFL,16,16,Flozell Adams,FlozellAdams26DAL2001,4,186,25-28
7,Flozell Adams\AdamFl00,2002,27,2-38,DAL,NFL,16,16,Flozell Adams,FlozellAdams27DAL2002,4,186,25-28
8,Flozell Adams\AdamFl00,2003,28,2-38,DAL,NFL,16,16,Flozell Adams,FlozellAdams28DAL2003,4,186,25-28
9,Flozell Adams\AdamFl00,2004,29,2-38,DAL,NFL,16,16,Flozell Adams,FlozellAdams29DAL2004,4,186,29-32
10,Flozell Adams\AdamFl00,2006,31,2-38,DAL,NFL,16,16,Flozell Adams,FlozellAdams31DAL2006,4,186,29-32
11,Branden Albert\AlbeBr20,2011,27,1-15,KAN,NFL,16,16,Branden Albert,BrandenAlbert27KAN2011,1,56,25-28
12,Larry Allen*\AlleLa00,2001,30,2-46,DAL,NFL,16,16,Larry Allen*,LarryAllen*30DAL2001,4,195,29-32
13,Larry Allen*\AlleLa00,2003,32,2-46,DAL,NFL,16,16,Larry Allen*,LarryAllen*32DAL2003,4,195,29-32
14,Larry Allen*\AlleLa00,2004,33,2-46,DAL,NFL,16,16,Larry Allen*,LarryAllen*33DAL2004,4,195,32+
15,Larry Allen*\AlleLa00,2005,34,2-46,DAL,NFL,16,16,Larry Allen*,LarryAllen*34DAL2005,4,195,32+
16,Larry Allen*\AlleLa00,2007,36,2-46,SFO,NFL,16,16,Larry Allen*,LarryAllen*36SFO2007,4,195,32+
17,Larry Allen*\AlleLa00,2000,29,2-46,DAL,NFL,16,16,Larry Allen*,LarryAllen*29DAL2000,4,195,29-32
18,Eugene Amano\AmanEu20,2011,29,7-239,TEN,NFL,16,16,Eugene Amano,EugeneAmano29TEN2011,9,150,29-32
19,Eugene Amano\AmanEu20,2008,26,7-239,TEN,NFL,16,16,Eugene Amano,EugeneAmano26TEN2008,9,150,25-28
20,Bennie Anderson\AndeBe20,2002,25,NA,BAL,NFL,16,16,Bennie Anderson,BennieAnderson25BAL2002,Undrafted,Undrafted,25-28
21,Willie Anderson\AndeWi00,2004,29,1-10,CIN,NFL,16,16,Willie Anderson,WillieAnderson29CIN2004,1,3,29-32
22,Willie Anderson\AndeWi00,2005,30,1-10,CIN,NFL,16,16,Willie Anderson,WillieAnderson30CIN2005,1,3,29-32
23,Willie Anderson\AndeWi00,2006,31,1-10,CIN,NFL,16,16,Willie Anderson,WillieAnderson31CIN2006,1,3,29-32
24,Willie Anderson\AndeWi00,2000,25,1-10,CIN,NFL,16,16,Willie Anderson,WillieAnderson25CIN2000,1,3,25-28
25,Willie Anderson\AndeWi00,2001,26,1-10,CIN,NFL,16,16,Willie Anderson,WillieAnderson26CIN2001,1,3,25-28
26,Willie Anderson\AndeWi00,2002,27,1-10,CIN,NFL,16,16,Willie Anderson,WillieAnderson27CIN2002,1,3,25-28
27,Willie Anderson\AndeWi00,2003,28,1-10,CIN,NFL,16,16,Willie Anderson,WillieAnderson28CIN2003,1,3,25-28
28,David Andrews\AndrDa00,2016,24,NA,NWE,NFL,16,16,David Andrews,DavidAndrews24NWE2016,Undrafted,Undrafted,< 24
29,Shawn Andrews\AndrSh55,2005,23,1-16,PHI,NFL,16,16,Shawn Andrews,ShawnAndrews23PHI2005,1,67,< 24
30,Shawn Andrews\AndrSh55,2006,24,1-16,PHI,NFL,16,16,Shawn Andrews,ShawnAndrews24PHI2006,1,67,< 24
31,Joe Andruzzi\AndrJo21,2001,26,NA,NWE,NFL,16,16,Joe Andruzzi,JoeAndruzzi26NWE2001,Undrafted,Undrafted,25-28
32,Joe Andruzzi\AndrJo21,2003,28,NA,NWE,NFL,16,16,Joe Andruzzi,JoeAndruzzi28NWE2003,Undrafted,Undrafted,25-28
33,Joe Andruzzi\AndrJo21,2004,29,NA,NWE,NFL,16,16,Joe Andruzzi,JoeAndruzzi29NWE2004,Undrafted,Undrafted,29-32
34,Bruce Armstrong\ArmsBr00,2000,35,1-23,NWE,NFL,16,16,Bruce Armstrong,BruceArmstrong35NWE2000,1,141,32+
35,Jon Asamoah\AsamJo20,2011,23,3-68,KAN,NFL,16,16,Jon Asamoah,JonAsamoah23KAN2011,5,218,< 24
36,David Baas\BaasDa20,2009,28,2-33,SFO,NFL,16,16,David Baas,DavidBaas28SFO2009,4,181,25-28
37,David Baas\BaasDa20,2010,29,2-33,SFO,NFL,16,16,David Baas,DavidBaas29SFO2010,4,181,29-32
38,David Baas\BaasDa20,2012,31,2-33,NYG,NFL,16,16,David Baas,DavidBaas31NYG2012,4,181,29-32
39,Jeff Backus\BackJe20,2003,26,1-18,DET,NFL,16,16,Jeff Backus,JeffBackus26DET2003,1,88,25-28
40,Jeff Backus\BackJe20,2004,27,1-18,DET,NFL,16,16,Jeff Backus,JeffBackus27DET2004,1,88,25-28
41,Jeff Backus\BackJe20,2005,28,1-18,DET,NFL,16,16,Jeff Backus,JeffBackus28DET2005,1,88,25-28
42,Jeff Backus\BackJe20,2006,29,1-18,DET,NFL,16,16,Jeff Backus,JeffBackus29DET2006,1,88,29-32
43,Jeff Backus\BackJe20,2007,30,1-18,DET,NFL,16,16,Jeff Backus,JeffBackus30DET2007,1,88,29-32
44,Jeff Backus\BackJe20,2008,31,1-18,DET,NFL,16,16,Jeff Backus,JeffBackus31DET2008,1,88,29-32
45,Jeff Backus\BackJe20,2009,32,1-18,DET,NFL,16,16,Jeff Backus,JeffBackus32DET2009,1,88,29-32
46,Jeff Backus\BackJe20,2010,33,1-18,DET,NFL,16,16,Jeff Backus,JeffBackus33DET2010,1,88,32+
47,Jeff Backus\BackJe20,2011,34,1-18,DET,NFL,16,16,Jeff Backus,JeffBackus34DET2011,1,88,32+
48,Jeff Backus\BackJe20,2001,24,1-18,DET,NFL,16,16,Jeff Backus,JeffBackus24DET2001,1,88,< 24
49,Jeff Backus\BackJe20,2002,25,1-18,DET,NFL,16,16,Jeff Backus,JeffBackus25DET2002,1,88,25-28
50,Sam Baker\BakeSa21,2010,25,1-21,ATL,NFL,16,16,Sam Baker,SamBaker25ATL2010,1,120,25-28
51,Sam Baker\BakeSa21,2012,27,1-21,ATL,NFL,16,16,Sam Baker,SamBaker27ATL2012,1,120,25-28
52,David Bakhtiari\BakhDa00,2016,25,4-109,GNB,NFL,16,16,David Bakhtiari,DavidBakhtiari25GNB2016,6,12,25-28
53,David Bakhtiari\BakhDa00,2013,22,4-109,GNB,NFL,16,16,David Bakhtiari,DavidBakhtiari22GNB2013,6,12,< 24
54,David Bakhtiari\BakhDa00,2014,23,4-109,GNB,NFL,16,16,David Bakhtiari,DavidBakhtiari23GNB2014,6,12,< 24
55,Allen Barbre\BarbAl20,2015,31,4-119,PHI,NFL,16,16,Allen Barbre,AllenBarbre31PHI2015,6,23,29-32
56,Joe Barksdale\BarkJo00,2014,26,3-92,STL,NFL,16,16,Joe Barksdale,JoeBarksdale26STL2014,5,245,25-28
57,Joe Barksdale\BarkJo00,2015,27,3-92,SDG,NFL,16,16,Joe Barksdale,JoeBarksdale27SDG2015,5,245,25-28
58,Khalif Barnes\BarnKh20,2008,26,2-52,JAX,NFL,16,16,Khalif Barnes,KhalifBarnes26JAX2008,4,202,25-28
59,Khalif Barnes\BarnKh20,2011,29,2-52,OAK,NFL,16,16,Khalif Barnes,KhalifBarnes29OAK2011,4,202,29-32
60,Khalif Barnes\BarnKh20,2013,31,2-52,OAK,NFL,16,16,Khalif Barnes,KhalifBarnes31OAK2013,4,202,29-32
61,Tim Barnes\BarnTi01,2015,27,NA,STL,NFL,16,16,Tim Barnes,TimBarnes27STL2015,Undrafted,Undrafted,25-28
