Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,name,key,Round,Pick,ageGroup
1,Larry Johnson\JohnLa00,2006,27,1-27,KAN,NFL,16,16,416,1789,4.3,17,111.8,Larry Johnson,LarryJohnson27KAN2006,1,106,25-28
2,Eddie George\GeorEd00,2000,27,1-14,TEN,NFL,16,16,403,1509,3.74,14,94.3,Eddie George,EddieGeorge27TEN2000,1,38,25-28
3,DeMarco Murray\MurrDe00,2014,26,3-71,DAL,NFL,16,16,392,1845,4.71,13,115.3,DeMarco Murray,DeMarcoMurray26DAL2014,3,146,25-28
4,Ricky Williams\WillRi00,2003,26,1-5,MIA,NFL,16,16,392,1372,3.5,9,85.8,Ricky Williams,RickyWilliams26MIA2003,1,127,25-28
5,Edgerrin James\JameEd00,2000,22,1-4,IND,NFL,16,16,387,1709,4.42,13,106.8,Edgerrin James,EdgerrinJames22IND2000,1,118,< 24
6,Jamal Lewis\LewiJa00,2003,24,1-5,BAL,NFL,16,16,387,2066,5.34,14,129.1,Jamal Lewis,JamalLewis24BAL2003,1,127,< 24
7,Ricky Williams\WillRi00,2002,25,1-5,MIA,NFL,16,16,383,1853,4.84,16,115.8,Ricky Williams,RickyWilliams25MIA2002,1,127,25-28
8,Michael Turner\TurnMi00,2008,26,5-154,ATL,NFL,16,16,376,1699,4.52,17,106.2,Michael Turner,MichaelTurner26ATL2008,5,49,25-28
9,LaDainian Tomlinson*\TomlLa00,2002,23,1-5,SDG,NFL,16,16,372,1683,4.52,14,105.2,LaDainian Tomlinson*,LaDainianTomlinson*23SDG2002,1,127,< 24
10,Curtis Martin*\MartCu00,2004,31,3-74,NYJ,NFL,16,16,371,1697,4.57,12,106.1,Curtis Martin*,CurtisMartin*31NYJ2004,3,148,29-32
11,Shaun Alexander\AlexSh00,2005,28,1-19,SEA,NFL,16,16,370,1880,5.08,27,117.5,Shaun Alexander,ShaunAlexander28SEA2005,1,71,25-28
12,Adrian Peterson\PeteAd01,2008,23,1-7,MIN,NFL,16,15,363,1760,4.85,10,110,Adrian Peterson,AdrianPeterson23MIN2008,1,145,< 24
13,Rudi Johnson\JohnRu00,2004,25,4-100,CIN,NFL,16,16,361,1454,4.03,12,90.9,Rudi Johnson,RudiJohnson25CIN2004,4,3,25-28
14,Edgerrin James\JameEd00,2005,27,1-4,IND,NFL,15,15,360,1506,4.18,13,100.4,Edgerrin James,EdgerrinJames27IND2005,1,118,25-28
15,Chris Johnson\JohnCh04,2009,24,1-24,TEN,NFL,16,16,358,2006,5.6,14,125.4,Chris Johnson,ChrisJohnson24TEN2009,1,96,< 24
16,Tiki Barber\BarbTi00,2005,30,2-36,NYG,NFL,16,16,357,1860,5.21,9,116.3,Tiki Barber,TikiBarber30NYG2005,2,114,29-32
17,Stephen Davis\DaviSt00,2001,27,4-102,WAS,NFL,16,16,356,1432,4.02,5,89.5,Stephen Davis,StephenDavis27WAS2001,4,5,25-28
18,Jerome Bettis*\BettJe00,2000,28,1-10,PIT,NFL,16,16,355,1341,3.78,8,83.8,Jerome Bettis*,JeromeBettis*28PIT2000,1,2,25-28
19,Ahman Green\GreeAh00,2003,26,3-76,GNB,NFL,16,16,355,1883,5.3,15,117.7,Ahman Green,AhmanGreen26GNB2003,3,150,25-28
20,Shaun Alexander\AlexSh00,2004,27,1-19,SEA,NFL,16,16,353,1696,4.8,16,106,Shaun Alexander,ShaunAlexander27SEA2004,1,71,25-28
21,Clinton Portis\PortCl00,2005,24,2-51,WAS,NFL,16,16,352,1516,4.31,11,94.8,Clinton Portis,ClintonPortis24WAS2005,2,128,< 24
22,Arian Foster\FostAr00,2012,26,NA,HOU,NFL,16,16,351,1424,4.06,15,89,Arian Foster,ArianFoster26HOU2012,Undrafted,Undrafted,25-28
23,Deuce McAllister\McAlDe00,2003,25,1-23,NOR,NFL,16,16,351,1641,4.68,8,102.6,Deuce McAllister,DeuceMcAllister25NOR2003,1,90,25-28
24,Adrian Peterson\PeteAd01,2012,27,1-7,MIN,NFL,16,16,348,2097,6.03,12,131.1,Adrian Peterson,AdrianPeterson27MIN2012,1,145,25-28
25,LaDainian Tomlinson*\TomlLa00,2006,27,1-5,SDG,NFL,16,16,348,1815,5.22,28,113.4,LaDainian Tomlinson*,LaDainianTomlinson*27SDG2006,1,127,25-28
26,Steven Jackson\JackSt00,2006,23,1-24,STL,NFL,16,16,346,1528,4.42,13,95.5,Steven Jackson,StevenJackson23STL2006,1,96,< 24
27,Corey Dillon\DillCo00,2004,30,2-43,NWE,NFL,15,14,345,1635,4.74,12,109,Corey Dillon,CoreyDillon30NWE2004,2,121,29-32
28,Fred Taylor\TaylFr00,2003,27,1-9,JAX,NFL,16,16,345,1572,4.56,6,98.3,Fred Taylor,FredTaylor27JAX2003,1,162,25-28
29,Eddie George\GeorEd00,2002,29,1-14,TEN,NFL,16,16,343,1165,3.4,12,72.8,Eddie George,EddieGeorge29TEN2002,1,38,29-32
30,Maurice Jones-Drew\DrewMa00,2011,26,2-60,JAX,NFL,16,16,343,1606,4.68,8,100.4,Maurice Jones-Drew,MauriceJones-Drew26JAX2011,2,137,25-28
31,Clinton Portis\PortCl00,2004,23,2-51,WAS,NFL,15,15,343,1315,3.83,5,87.7,Clinton Portis,ClintonPortis23WAS2004,2,128,< 24
32,Clinton Portis\PortCl00,2008,27,2-51,WAS,NFL,16,16,342,1487,4.35,9,92.9,Clinton Portis,ClintonPortis27WAS2008,2,128,25-28
33,Rudi Johnson\JohnRu00,2006,27,4-100,CIN,NFL,16,15,341,1309,3.84,12,81.8,Rudi Johnson,RudiJohnson27CIN2006,4,3,25-28
34,Corey Dillon\DillCo00,2001,27,2-43,CIN,NFL,16,16,340,1315,3.87,10,82.2,Corey Dillon,CoreyDillon27CIN2001,2,121,25-28
35,James Stewart\StewJa00,2000,29,1-19,DET,NFL,16,16,339,1184,3.49,10,74,James Stewart,JamesStewart29DET2000,1,71,29-32
36,LaDainian Tomlinson*\TomlLa00,2004,25,1-5,SDG,NFL,15,15,339,1335,3.94,17,89,LaDainian Tomlinson*,LaDainianTomlinson*25SDG2004,1,127,25-28
37,LaDainian Tomlinson*\TomlLa00,2005,26,1-5,SDG,NFL,16,16,339,1462,4.31,18,91.4,LaDainian Tomlinson*,LaDainianTomlinson*26SDG2005,1,127,25-28
38,LaDainian Tomlinson*\TomlLa00,2001,22,1-5,SDG,NFL,16,16,339,1236,3.65,10,77.3,LaDainian Tomlinson*,LaDainianTomlinson*22SDG2001,1,127,< 24
39,Edgerrin James\JameEd00,2006,28,1-4,ARI,NFL,16,16,337,1159,3.44,6,72.4,Edgerrin James,EdgerrinJames28ARI2006,1,118,25-28
40,Rudi Johnson\JohnRu00,2005,26,4-100,CIN,NFL,16,14,337,1458,4.33,12,91.1,Rudi Johnson,RudiJohnson26CIN2005,4,3,25-28
41,Willie Parker\ParkWi00,2006,26,NA,PIT,NFL,16,16,337,1494,4.43,13,93.4,Willie Parker,WillieParker26PIT2006,Undrafted,Undrafted,25-28
42,Larry Johnson\JohnLa00,2005,26,1-27,KAN,NFL,16,9,336,1750,5.21,20,109.4,Larry Johnson,LarryJohnson26KAN2005,1,106,25-28
