Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt,name,key,Round,Pick,ageGroup
1,Marvin Harrison*\HarrMa00,2002,30,1-19,IND,NFL,16,16,205,143,1722,12.04,11,107.6,69.8%,8.4,Marvin Harrison*,MarvinHarrison*30IND2002,1,62,29-32
2,Antonio Brown\BrowAn04,2015,27,6-195,PIT,NFL,16,16,193,136,1834,13.49,10,114.6,70.5%,9.5,Antonio Brown,AntonioBrown27PIT2015,7,68,25-28
3,Julio Jones\JoneJu02,2015,26,1-6,ATL,NFL,16,16,203,136,1871,13.76,8,116.9,67.0%,9.22,Julio Jones,JulioJones26ATL2015,1,134,25-28
4,Antonio Brown\BrowAn04,2014,26,6-195,PIT,NFL,16,16,181,129,1698,13.16,13,106.1,71.3%,9.38,Antonio Brown,AntonioBrown26PIT2014,7,68,25-28
5,Wes Welker\WelkWe00,2009,28,NA,NWE,NFL,14,13,162,123,1348,10.96,4,96.3,75.9%,8.32,Wes Welker,WesWelker28NWE2009,Undrafted,Undrafted,25-28
6,Calvin Johnson\JohnCa00,2012,27,1-2,DET,NFL,16,16,204,122,1964,16.1,5,122.8,59.8%,9.63,Calvin Johnson,CalvinJohnson27DET2012,1,71,25-28
7,Wes Welker\WelkWe00,2011,30,NA,NWE,NFL,16,15,173,122,1569,12.86,9,98.1,70.5%,9.07,Wes Welker,WesWelker30NWE2011,Undrafted,Undrafted,29-32
8,Brandon Marshall\MarsBr00,2012,28,4-119,CHI,NFL,16,16,192,118,1508,12.78,11,94.3,61.5%,7.85,Brandon Marshall,BrandonMarshall28CHI2012,5,18,25-28
9,Wes Welker\WelkWe00,2012,31,NA,NWE,NFL,16,12,174,118,1354,11.47,6,84.6,67.8%,7.78,Wes Welker,WesWelker31NWE2012,Undrafted,Undrafted,29-32
10,Torry Holt\HoltTo00,2003,27,1-6,STL,NFL,16,15,183,117,1696,14.5,12,106,63.9%,9.27,Torry Holt,TorryHolt27STL2003,1,134,25-28
11,Andre Johnson\JohnAn02,2008,27,1-3,HOU,NFL,16,16,171,115,1575,13.7,8,98.4,67.3%,9.21,Andre Johnson,AndreJohnson27HOU2008,1,101,25-28
12,Roddy White\WhitRo00,2010,29,1-27,ATL,NFL,16,16,179,115,1389,12.08,10,86.8,64.2%,7.76,Roddy White,RoddyWhite29ATL2010,1,98,29-32
13,Pierre Garcon\GarcPi00,2013,27,6-205,WAS,NFL,16,16,181,113,1346,11.91,5,84.1,62.4%,7.44,Pierre Garcon,PierreGarcon27WAS2013,7,74,25-28
14,Rod Smith\SmitRo01,2001,31,NA,DEN,NFL,15,14,172,113,1343,11.88,11,89.5,65.7%,7.81,Rod Smith,RodSmith31DEN2001,Undrafted,Undrafted,29-32
