Rk,Player,Year,Age,Draft,Tm,Lg,G,GS
1,Bradley Pinion\PiniBr00,2015,21,5-165,SFO,NFL,16,0
2,Roberto Aguayo\AguaRo00,2016,22,2-59,TAM,NFL,16,0
3,Connor Barth\barthco01,2008,22,,KAN,NFL,10,0
4,Corey Bojorquez\BojoCo00,2018,22,,BUF,NFL,8,0
5,Kyle Brindza\BrinKy00,2015,22,,TAM,NFL,4,0
6,David Buehler\BuehDa44,2009,22,5-172,DAL,NFL,16,0
7,Harrison Butker\ButkHa00,2017,22,7-233,KAN,NFL,13,0
8,Billy Cundiff\cundibil01,2002,22,,DAL,NFL,16,0
9,Michael Dickson\DickMi00,2018,22,,SEA,NFL,7,0
10,Paul Edinger\edingpau01,2000,22,6-174,CHI,NFL,16,0
11,Jake Elliott\ElliJa03,2017,22,5-153,PHI,NFL,15,0
12,Hayden Epstein\epstehay01,2002,22,7-247,2TM,NFL,15,0
13,Andrew Franks\FranAn01,2015,22,,MIA,NFL,16,0
14,Graham Gano\GanoGr44,2009,22,,WAS,NFL,4,0
15,Zane Gonzalez\GonzZa00,2017,22,7-224,CLE,NFL,16,0
16,Stephen Gostkowski\GostSt20,2006,22,4-118,NWE,NFL,16,0
17,Garrett Hartley\HartGa00,2008,22,,NOR,NFL,8,0
18,Johnny Hekker\HekkJo00,2012,22,,STL,NFL,16,0
19,Chas Henry\HenrCh02,2011,22,,PHI,NFL,16,0
20,Sebastian Janikowski\janikseb01,2000,22,1-17,OAK,NFL,14,0
21,Eddie Johnson\JohnEd22,2003,22,6-180,MIN,NFL,14,0
22,Chris Jones\JoneCh02,2011,22,,DAL,NFL,2,0
23,Nate Kaeding\kaedinat01,2004,22,3-65,SDG,NFL,16,0
24,Brett Kern\KernBr20,2008,22,,DEN,NFL,16,0
25,Andy Lee\LeexAn20,2004,22,6-188,SFO,NFL,16,0
26,Wil Lutz\LutzWi00,2016,22,,NOR,NFL,16,0
27,Robert Malone\MaloRo00,2010,22,,TAM,NFL,12,0
28,Seth Marler\marleset01,2003,22,,JAX,NFL,16,0
29,Pat McAfee\McAfPa44,2009,22,7-222,IND,NFL,16,0
30,Cody Parkey\ParkCo03,2014,22,,PHI,NFL,16,0
31,Bradley Pinion\PiniBr00,2016,22,5-165,SFO,NFL,16,0
32,Ryan Plackemeier\PlacRy20,2006,22,7-239,SEA,NFL,16,0
33,Josh Scobee\scobejos01,2004,22,5-137,JAX,NFL,16,0
34,JK Scott\ScotJK00,2018,22,,GNB,NFL,7,0
35,Blair Walsh\WalsBl00,2012,22,6-175,MIN,NFL,16,0
36,Ryan Allen\AlleRy01,2013,23,,NWE,NFL,16,0
37,Jake Arians\arianjak01,2001,23,,BUF,NFL,10,0
38,Mike Badgley\BadgMi00,2018,23,,LAC,NFL,2,0
39,Dan Bailey\BailDa00,2011,23,,DAL,NFL,16,0
40,Jason Baker\BakeJa20,2001,23,,SFO,NFL,16,0
41,John Baker\BakeJo21,2000,23,,STL,NFL,15,0
42,Connor Barth\barthco01,2009,23,,TAM,NFL,9,0
43,Durant Brooks\BrooDu20,2008,23,6-168,WAS,NFL,6,0
44,David Buehler\BuehDa44,2010,23,5-172,DAL,NFL,16,0
45,Randy Bullock\BullRa00,2012,23,5-161,HOU,NFL,,
46,Harrison Butker\ButkHa00,2018,23,7-233,KAN,NFL,8,0
47,Drew Butler\ButlDr00,2012,23,,PIT,NFL,16,0
48,Jorrick Calvin\CalvJo99,2010,23,6-201,PHI,NFL,12,0
49,Daniel Carlson\CarlDa00,2018,23,,2TM,NFL,4,0
50,Dan Carpenter\CarpDa44,2008,23,,MIA,NFL,16,0
51,Chandler Catanzaro\CataCh00,2014,23,,ARI,NFL,16,0
52,Jeff Chandler\chandjef01,2002,23,4-102,SFO,NFL,6,0
53,Dustin Colquitt\ColqDu20,2005,23,3-99,KAN,NFL,16,0
54,Logan Cooke\CookLo00,2018,23,,JAX,NFL,8,0
55,Travis Coons\CoonTr00,2015,23,,CLE,NFL,16,0
56,Mason Crosby\CrosMa20,2007,23,6-193,GNB,NFL,16,0
57,Billy Cundiff\cundibil01,2003,23,,DAL,NFL,15,0
58,Matt Darr\DarrMa00,2015,23,,MIA,NFL,16,0
59,Riley Dixon\DixoRi00,2016,23,7-228,DEN,NFL,16,0
60,Matt Dodge\DodgMa99,2010,23,7-221,NYG,NFL,16,0
61,Ryan Donahue\DonaRy00,2011,23,,DET,NFL,8,0
62,Travis Dorsch\DorsTr20,2002,23,4-109,CIN,NFL,1,0
63,Paul Edinger\edingpau01,2001,23,6-174,CHI,NFL,16,0
64,Jake Elliott\ElliJa03,2018,23,5-153,PHI,NFL,8,0
65,Paul Ernster\ErnsPa20,2005,23,7-239,DEN,NFL,1,0
66,Ka'imi Fairbairn\FairKa01,2017,23,,HOU,NFL,16,0
67,Brandon Fields\FielBr20,2007,23,7-225,MIA,NFL,16,0
68,Nick Folk\FolkNi20,2007,23,6-178,DAL,NFL,16,0
69,Andrew Franks\FranAn01,2016,23,,MIA,NFL,16,0
70,Andrew Furney\FurnAn00,2014,23,,NYJ,NFL,0,
71,Graham Gano\GanoGr44,2010,23,,WAS,NFL,16,0
72,Zane Gonzalez\GonzZa00,2018,23,7-224,CLE,NFL,2,0
73,Stephen Gostkowski\GostSt20,2007,23,4-118,NWE,NFL,16,0
74,Bill Gramatica\gramabil01,2001,23,4-98,ARI,NFL,13,0
75,Matt Haack\HaacMa00,2017,23,,MIA,NFL,16,0
76,Nick Harris\HarrNi20,2001,23,4-120,CIN,NFL,16,0
77,Garrett Hartley\HartGa00,2009,23,,NOR,NFL,5,0
78,Steven Hauschka\HausSt00,2008,23,,BAL,NFL,8,0
79,Johnny Hekker\HekkJo00,2013,23,,STL,NFL,16,0
80,Chas Henry\HenrCh02,2012,23,,PHI,NFL,3,0
81,Kris Heppner\heppnkri01,2000,23,,2TM,NFL,8,0
82,Reggie Hodges\HodgRe20,2005,23,6-210,2TM,NFL,8,0
83,Sebastian Janikowski\janikseb01,2001,23,1-17,OAK,NFL,15,0
84,Craig Jarrett\JarrCr20,2002,23,6-194,WAS,NFL,4,0
85,J.R. Jenkins\JenkJ.20,2002,23,,BAL,NFL,7,0
86,Chris Jones\JoneCh02,2012,23,,DAL,NFL,4,0
87,Nate Kaeding\kaedinat01,2005,23,3-65,SDG,NFL,16,0
88,Jeremy Kapinos\KapiJe20,2007,23,,NYJ,NFL,1,0
89,Drew Kaser\KaseDr00,2016,23,6-179,SDG,NFL,16,0
90,Brett Kern\KernBr20,2009,23,,2TM,NFL,16,0
91,Michael Koenen\koenemic01,2005,23,,ATL,NFL,16,0
92,Younghoe Koo\KooxYo00,2017,23,,LAC,NFL,4,0
93,Andy Lee\LeexAn20,2005,23,6-188,SFO,NFL,16,0
94,Rian Lindell\linderia01,2000,23,,SEA,NFL,12,0
95,Wil Lutz\LutzWi00,2017,23,,NOR,NFL,16,0
96,Robert Malone\MaloRo00,2011,23,,DET,NFL,1,0
97,Sam Martin\MartSa01,2013,23,5-165,DET,NFL,16,0
