Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G
1,Larry Johnson\JohnLa00,2006,27,1-27,KAN,NFL,16,16,416,1789,4.30,17,111.8
2,Eddie George\GeorEd00,2000,27,1-14,TEN,NFL,16,16,403,1509,3.74,14,94.3
3,DeMarco Murray\MurrDe00,2014,26,3-71,DAL,NFL,16,16,392,1845,4.71,13,115.3
4,Ricky Williams\WillRi00,2003,26,1-5,MIA,NFL,16,16,392,1372,3.50,9,85.8
5,Edgerrin James\JameEd00,2000,22,1-4,IND,NFL,16,16,387,1709,4.42,13,106.8
6,Jamal Lewis\LewiJa00,2003,24,1-5,BAL,NFL,16,16,387,2066,5.34,14,129.1
7,Ricky Williams\WillRi00,2002,25,1-5,MIA,NFL,16,16,383,1853,4.84,16,115.8
8,Michael Turner\TurnMi00,2008,26,5-154,ATL,NFL,16,16,376,1699,4.52,17,106.2
9,LaDainian Tomlinson*\TomlLa00,2002,23,1-5,SDG,NFL,16,16,372,1683,4.52,14,105.2
10,Curtis Martin*\MartCu00,2004,31,3-74,NYJ,NFL,16,16,371,1697,4.57,12,106.1
11,Shaun Alexander\AlexSh00,2005,28,1-19,SEA,NFL,16,16,370,1880,5.08,27,117.5
12,Adrian Peterson\PeteAd01,2008,23,1-7,MIN,NFL,16,15,363,1760,4.85,10,110.0
13,Rudi Johnson\JohnRu00,2004,25,4-100,CIN,NFL,16,16,361,1454,4.03,12,90.9
14,Edgerrin James\JameEd00,2005,27,1-4,IND,NFL,15,15,360,1506,4.18,13,100.4
15,Chris Johnson\JohnCh04,2009,24,1-24,TEN,NFL,16,16,358,2006,5.60,14,125.4
16,Tiki Barber\BarbTi00,2005,30,2-36,NYG,NFL,16,16,357,1860,5.21,9,116.3
17,Stephen Davis\DaviSt00,2001,27,4-102,WAS,NFL,16,16,356,1432,4.02,5,89.5
18,Jerome Bettis*\BettJe00,2000,28,1-10,PIT,NFL,16,16,355,1341,3.78,8,83.8
19,Ahman Green\GreeAh00,2003,26,3-76,GNB,NFL,16,16,355,1883,5.30,15,117.7
20,Shaun Alexander\AlexSh00,2004,27,1-19,SEA,NFL,16,16,353,1696,4.80,16,106.0
