Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,Jason Witten\WittJa00,2012,30,3-69,DAL,NFL,16,16,147,110,1039,9.45,3,64.9,74.8%,7.07
2,Tony Gonzalez\GonzTo00,2004,28,1-13,KAN,NFL,16,16,148,102,1258,12.33,7,78.6,68.9%,8.50
3,Dallas Clark\ClarDa00,2009,30,1-24,IND,NFL,16,16,133,100,1106,11.06,10,69.1,75.2%,8.32
4,Tony Gonzalez\GonzTo00,2007,31,1-13,KAN,NFL,16,16,153,99,1172,11.84,5,73.3,64.7%,7.66
5,Jimmy Graham\GrahJi00,2011,25,3-95,NOR,NFL,16,11,149,99,1310,13.23,11,81.9,66.4%,8.79
6,Tony Gonzalez\GonzTo00,2008,32,1-13,KAN,NFL,16,16,155,96,1058,11.02,10,66.1,61.9%,6.83
7,Jason Witten\WittJa00,2007,25,3-69,DAL,NFL,16,16,141,96,1145,11.93,7,71.6,68.1%,8.12
8,Delanie Walker\WalkHu00,2015,31,6-175,TEN,NFL,15,10,133,94,1088,11.57,6,72.5,70.7%,8.18
9,Jason Witten\WittJa00,2009,27,3-69,DAL,NFL,16,16,124,94,1030,10.96,2,64.4,75.8%,8.31
10,Jason Witten\WittJa00,2010,28,3-69,DAL,NFL,16,16,128,94,1002,10.66,9,62.6,73.4%,7.83
11,Tony Gonzalez\GonzTo00,2012,36,1-13,ATL,NFL,16,16,124,93,930,10.00,8,58.1,75.0%,7.50
12,Tony Gonzalez\GonzTo00,2000,24,1-13,KAN,NFL,16,16,150,93,1203,12.94,9,75.2,62.0%,8.02
13,Martellus Bennett\BennMa00,2014,27,2-61,CHI,NFL,16,15,128,90,916,10.18,6,57.3,70.3%,7.16
14,Rob Gronkowski\GronRo00,2011,22,2-42,NWE,NFL,16,16,124,90,1327,14.74,17,82.9,72.6%,10.70
15,Antonio Gates\GateAn00,2005,25,,SDG,NFL,15,15,140,89,1101,12.37,10,73.4,63.6%,7.86
16,Kellen Winslow\WinsKe01,2006,23,1-6,CLE,NFL,16,16,120,89,875,9.83,3,54.7,74.2%,7.29
17,Jordan Reed\ReedJo02,2015,25,3-85,WAS,NFL,14,9,114,87,952,10.94,11,68.0,76.3%,8.35
18,Jason Witten\WittJa00,2004,22,3-69,DAL,NFL,16,15,122,87,980,11.26,6,61.3,71.3%,8.03
19,Jimmy Graham\GrahJi00,2013,27,3-95,NOR,NFL,16,12,142,86,1215,14.13,16,75.9,60.6%,8.56
20,Dennis Pitta\PittDe00,2016,31,4-114,BAL,NFL,16,12,121,86,729,8.48,2,45.6,71.1%,6.02
21,Jimmy Graham\GrahJi00,2012,26,3-95,NOR,NFL,15,9,135,85,982,11.55,9,65.5,63.0%,7.27
22,Jimmy Graham\GrahJi00,2014,28,3-95,NOR,NFL,16,13,125,85,889,10.46,10,55.6,68.0%,7.11
23,Travis Kelce\KelcTr00,2016,27,3-63,KAN,NFL,16,15,117,85,1125,13.24,4,70.3,72.6%,9.62
24,Greg Olsen\OlseGr00,2014,29,1-31,CAR,NFL,16,16,123,84,1008,12.00,6,63.0,68.3%,8.20
25,Chris Cooley\CoolCh00,2008,26,3-81,WAS,NFL,16,16,111,83,849,10.23,1,53.1,74.8%,7.65
26,Tony Gonzalez\GonzTo00,2009,33,1-13,ATL,NFL,16,16,134,83,867,10.45,6,54.2,61.9%,6.47
27,Tony Gonzalez\GonzTo00,2013,37,1-13,ATL,NFL,16,16,121,83,859,10.35,8,53.7,68.6%,7.10
28,Travis Kelce\KelcTr00,2017,28,3-63,KAN,NFL,15,15,122,83,1038,12.51,8,69.2,68.0%,8.51
29,Brandon Pettigrew\PettBr00,2011,26,1-20,DET,NFL,16,16,126,83,777,9.36,5,48.6,65.9%,6.17
30,Kyle Rudolph\RudoKy00,2016,27,2-43,MIN,NFL,16,16,132,83,840,10.12,7,52.5,62.9%,6.36
31,Rob Gronkowski\GronRo00,2014,25,2-42,NWE,NFL,15,10,131,82,1124,13.71,12,74.9,62.6%,8.58
32,Eric Johnson\JohnEr00,2004,25,7-224,SFO,NFL,16,14,117,82,825,10.06,2,51.6,70.1%,7.05
33,Kellen Winslow\WinsKe01,2007,24,1-6,CLE,NFL,16,14,148,82,1106,13.49,5,69.1,55.4%,7.47
34,Antonio Gates\GateAn00,2004,24,,SDG,NFL,15,15,114,81,964,11.90,13,64.3,71.1%,8.46
35,Jason Witten\WittJa00,2008,26,3-69,DAL,NFL,16,16,121,81,952,11.75,4,59.5,66.9%,7.87
36,Jordan Cameron\CameJo00,2013,25,4-102,CLE,NFL,15,14,118,80,917,11.46,7,61.1,67.8%,7.77
37,Jack Doyle\DoylJa00,2017,27,,IND,NFL,15,15,108,80,690,8.63,4,46.0,74.1%,6.39
38,Tony Gonzalez\GonzTo00,2011,35,1-13,ATL,NFL,16,16,116,80,875,10.94,7,54.7,69.0%,7.54
39,Greg Olsen\OlseGr00,2016,31,1-31,CAR,NFL,16,16,129,80,1073,13.41,3,67.1,62.0%,8.32
40,Gary Barnidge\BarnGa01,2015,30,5-141,CLE,NFL,16,13,125,79,1043,13.20,9,65.2,63.2%,8.34
41,Antonio Gates\GateAn00,2009,29,,SDG,NFL,16,16,114,79,1157,14.65,8,72.3,69.3%,10.15
42,Aaron Hernandez\HernAa00,2011,22,4-113,NWE,NFL,14,12,113,79,910,11.52,7,65.0,69.9%,8.05
43,Brandon Myers\MyerBr00,2012,27,6-202,OAK,NFL,16,16,105,79,806,10.20,4,50.4,75.2%,7.68
44,Jason Witten\WittJa00,2011,29,3-69,DAL,NFL,16,16,117,79,942,11.92,5,58.9,67.5%,8.05
45,Vernon Davis\DaviVe00,2009,25,1-6,SFO,NFL,16,16,128,78,965,12.37,13,60.3,60.9%,7.54
46,Zach Ertz\ErtzZa00,2016,26,2-35,PHI,NFL,14,12,106,78,816,10.46,4,58.3,73.6%,7.70
47,Tony Gonzalez\GonzTo00,2005,29,1-13,KAN,NFL,16,16,116,78,905,11.60,2,56.6,67.2%,7.80
48,Dallas Clark\ClarDa00,2008,29,1-24,IND,NFL,15,15,107,77,848,11.01,6,56.5,72.0%,7.93
49,Chris Cooley\CoolCh00,2010,28,3-81,WAS,NFL,16,16,126,77,849,11.03,3,53.1,61.1%,6.74
50,Antonio Gates\GateAn00,2013,33,,SDG,NFL,16,15,114,77,872,11.32,4,54.5,67.5%,7.65
51,Greg Olsen\OlseGr00,2015,30,1-31,CAR,NFL,16,16,124,77,1104,14.34,7,69.0,62.1%,8.90
52,Kellen Winslow\WinsKe01,2009,26,1-6,TAM,NFL,16,14,127,77,884,11.48,5,55.3,60.6%,6.96
53,Jason Witten\WittJa00,2015,33,3-69,DAL,NFL,16,16,104,77,713,9.26,3,44.6,74.0%,6.86
54,Brent Celek\CeleBr00,2009,24,5-162,PHI,NFL,16,15,112,76,971,12.78,8,60.7,67.9%,8.67
55,Heath Miller\MillHe00,2009,27,1-30,PIT,NFL,16,16,98,76,789,10.38,6,49.3,77.6%,8.05
56,Zach Ertz\ErtzZa00,2015,25,2-35,PHI,NFL,15,7,112,75,853,11.37,2,56.9,67.0%,7.62
57,Antonio Gates\GateAn00,2007,27,,SDG,NFL,16,16,117,75,984,13.12,9,61.5,64.1%,8.41
58,Todd Heap\HeapTo00,2005,25,1-31,BAL,NFL,16,16,114,75,855,11.40,7,53.4,65.8%,7.50
59,Kellen Winslow\WinsKe01,2011,28,1-6,TAM,NFL,16,15,123,75,763,10.17,2,47.7,61.0%,6.20
60,Zach Ertz\ErtzZa00,2017,27,2-35,PHI,NFL,14,13,110,74,824,11.14,8,58.9,67.3%,7.49
61,Jeremy Shockey\ShocJe00,2002,22,1-14,NYG,NFL,15,14,128,74,894,12.08,2,59.6,57.8%,6.98
62,Delanie Walker\WalkHu00,2017,33,6-175,TEN,NFL,16,11,111,74,807,10.91,3,50.4,66.7%,7.27
63,Ben Watson\WatsBe00,2015,35,1-32,NOR,NFL,16,16,110,74,825,11.15,6,51.6,67.3%,7.50
64,Tony Gonzalez\GonzTo00,2006,30,1-13,KAN,NFL,15,15,104,73,900,12.33,5,60.0,70.2%,8.65
65,Tony Gonzalez\GonzTo00,2001,25,1-13,KAN,NFL,16,16,118,73,917,12.56,6,57.3,61.9%,7.77
66,Todd Heap\HeapTo00,2006,26,1-31,BAL,NFL,16,16,116,73,765,10.48,6,47.8,62.9%,6.59
67,Randy McMichael\McMiRa01,2004,25,4-114,MIA,NFL,16,16,118,73,791,10.84,4,49.4,61.9%,6.70
68,Greg Olsen\OlseGr00,2013,28,1-31,CAR,NFL,16,16,111,73,816,11.18,6,51.0,65.8%,7.35
69,Shannon Sharpe*\SharSh00,2001,33,7-192,BAL,NFL,16,15,114,73,811,11.11,2,50.7,64.0%,7.11
70,Jason Witten\WittJa00,2013,31,3-69,DAL,NFL,16,16,111,73,851,11.66,8,53.2,65.8%,7.67
71,Rob Gronkowski\GronRo00,2015,26,2-42,NWE,NFL,15,15,120,72,1176,16.33,11,78.4,60.0%,9.80
72,Travis Kelce\KelcTr00,2015,26,3-63,KAN,NFL,16,16,103,72,875,12.15,5,54.7,69.9%,8.50
73,Antonio Gates\GateAn00,2006,26,,SDG,NFL,16,16,120,71,924,13.01,9,57.8,59.2%,7.70
74,Tony Gonzalez\GonzTo00,2003,27,1-13,KAN,NFL,16,16,106,71,916,12.90,10,57.3,67.0%,8.64
75,Freddie Jones\JoneFr00,2000,26,2-45,SDG,NFL,16,16,126,71,766,10.79,5,47.9,56.3%,6.08
76,Heath Miller\MillHe00,2012,30,1-30,PIT,NFL,15,15,101,71,816,11.49,8,54.4,70.3%,8.08
77,Brandon Pettigrew\PettBr00,2010,25,1-20,DET,NFL,16,16,111,71,722,10.17,4,45.1,64.0%,6.50
78,Jermaine Wiggins\WiggJe00,2004,29,,MIN,NFL,14,13,92,71,705,9.93,4,50.4,77.2%,7.66
79,Owen Daniels\DaniOw00,2008,26,4-98,HOU,NFL,16,16,101,70,862,12.31,2,53.9,69.3%,8.53
80,Tony Gonzalez\GonzTo00,2010,34,1-13,ATL,NFL,16,16,108,70,656,9.37,6,41.0,64.8%,6.07
