Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,Marvin Harrison*\HarrMa00,2002,30,1-19,IND,NFL,16,16,205,143,1722,12.04,11,107.6,69.8%,8.40
2,Antonio Brown\BrowAn04,2015,27,6-195,PIT,NFL,16,16,193,136,1834,13.49,10,114.6,70.5%,9.50
3,Julio Jones\JoneJu02,2015,26,1-6,ATL,NFL,16,16,203,136,1871,13.76,8,116.9,67.0%,9.22
4,Antonio Brown\BrowAn04,2014,26,6-195,PIT,NFL,16,16,181,129,1698,13.16,13,106.1,71.3%,9.38
5,Wes Welker\WelkWe00,2009,28,,NWE,NFL,14,13,162,123,1348,10.96,4,96.3,75.9%,8.32
6,Calvin Johnson\JohnCa00,2012,27,1-2,DET,NFL,16,16,204,122,1964,16.10,5,122.8,59.8%,9.63
7,Wes Welker\WelkWe00,2011,30,,NWE,NFL,16,15,173,122,1569,12.86,9,98.1,70.5%,9.07
8,Brandon Marshall\MarsBr00,2012,28,4-119,CHI,NFL,16,16,192,118,1508,12.78,11,94.3,61.5%,7.85
9,Wes Welker\WelkWe00,2012,31,,NWE,NFL,16,12,174,118,1354,11.47,6,84.6,67.8%,7.78
10,Torry Holt\HoltTo00,2003,27,1-6,STL,NFL,16,15,183,117,1696,14.50,12,106.0,63.9%,9.27
11,Andre Johnson\JohnAn02,2008,27,1-3,HOU,NFL,16,16,171,115,1575,13.70,8,98.4,67.3%,9.21
12,Roddy White\WhitRo00,2010,29,1-27,ATL,NFL,16,16,179,115,1389,12.08,10,86.8,64.2%,7.76
13,Pierre Garcon\GarcPi00,2013,27,6-205,WAS,NFL,16,16,181,113,1346,11.91,5,84.1,62.4%,7.44
14,Rod Smith\SmitRo01,2001,31,,DEN,NFL,15,14,172,113,1343,11.88,11,89.5,65.7%,7.81
15,T.J. Houshmandzadeh\HousTJ00,2007,30,7-204,CIN,NFL,16,15,169,112,1143,10.21,12,71.4,66.3%,6.76
16,Andre Johnson\JohnAn02,2012,31,1-3,HOU,NFL,16,16,162,112,1598,14.27,4,99.9,69.1%,9.86
17,Jarvis Landry\LandJa00,2017,25,2-63,MIA,NFL,16,16,161,112,987,8.81,9,61.7,69.6%,6.13
18,Jimmy Smith\SmitJi00,2001,32,2-36,JAX,NFL,16,16,176,112,1373,12.26,8,85.8,63.6%,7.80
19,Hines Ward\WardHi00,2002,26,3-92,PIT,NFL,16,16,160,112,1329,11.87,12,83.1,70.0%,8.31
20,Wes Welker\WelkWe00,2007,26,,NWE,NFL,16,13,145,112,1175,10.49,8,73.4,77.2%,8.10
